product_id,imei_no,stock_id,status,productId
473830,866407031224264,527742,0,PR10449
473830,866407031207301,527742,0,PR10449
473830,866407031025604,527742,0,PR10449
473830,866407031193501,527742,0,PR10449
473830,866407031210248,527742,0,PR10449
473830,866407031015480,527742,0,PR10449
473830,866407031193121,527742,0,PR10449
473830,865184037662265,527742,0,PR10449
473830,866407031200066,527742,0,PR10449
473830,866407031193568,527742,0,PR10449
473830,866407031238405,527742,0,PR10449
473830,866407031194582,527742,0,PR10449
473830,866407031212426,527742,0,PR10449
473830,866407031232945,527742,0,PR10449
473830,866407031194186,527742,0,PR10449
473830,865184037712763,527742,0,PR10449
473830,865184037733868,527742,0,PR10449
473830,865184037736283,527742,0,PR10449
473830,865184037680846,527742,0,PR10449
473830,866407031234123,527742,0,PR10449
473830,865184035735907,527742,0,PR10449
473830,866407031242787,527742,0,PR10449
473830,866407031194780,527742,0,PR10449
473830,866407031228661,527742,0,PR10449
473830,866407031240245,527742,0,PR10449
473830,866407031239882,527742,0,PR10449
473830,866407031176043,527742,0,PR10449
473830,865184036134704,527742,0,PR10449
473830,866407031236367,527742,0,PR10449
473830,866407031196744,527742,0,PR10449
473830,866407031231160,527742,0,PR10449
473830,865184035874862,527742,0,PR10449
473830,866407031241201,527742,0,PR10449
473830,866407031241623,527742,0,PR10449
473830,866407031052228,527742,0,PR10449
473830,866407030976948,527742,0,PR10449
473830,866407031101884,527742,0,PR10449
473830,866407031212384,527742,0,PR10449
473830,866407031136708,527742,0,PR10449
473830,865184036178065,527742,0,PR10449
473830,866407030550305,527742,0,PR10449
473830,866407030558449,527742,0,PR10449
473830,866407030557961,527742,0,PR10449
473830,866407030559645,527742,0,PR10449
473830,866407030544928,527742,0,PR10449
473830,866407030549844,527742,0,PR10449
473830,866407030559942,527742,0,PR10449
473830,866407030555361,527742,0,PR10449
473830,866407030549927,527742,0,PR10449
473830,866407030441422,527742,0,PR10449
473830,866407030550503,527742,0,PR10449
473830,866407030553986,527742,0,PR10449
